SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2003-04,2003-10-28,SUN,SPU,SPU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04,2003-10-30,SUN,CAV,SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04,2003-11-01,SUN,LAK,SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04,2003-11-05,SUN,JAZ,JAZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04,2003-11-10,SUN,WAR,WAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04,2003-11-12,SUN,HAW,SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04,2003-11-14,SUN,ROC,ROC,0.74,0.286,0.429,0.667,0.286,0.286,1.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.571,0.429,0.0,0.667,0.667,0.333,0.0,0.0,23.4,11.3,0.0,0.0,0.0,0.0,27.2,133.0,114.0,5.7
2003-04,2003-11-15,SUN,PIS,SUN,1.666,0.375,0.75,0.5,0.25,0.375,0.667,0.125,0.375,0.333,0.0,0.0,0.0,0.125,0.125,0.25,0.0,0.0,0.0,0.125,0.125,0.875,0.45,0.125,0.583,0.583,0.5,0.0,6.5,11.7,8.6,0.0,0.0,0.0,12.5,23.4,108.0,112.5,-0.2
2003-04,2003-11-18,SUN,BUL,SUN,2.94,0.667,1.444,0.462,0.444,0.778,0.571,0.222,0.667,0.333,0.0,0.0,0.0,0.111,0.222,0.333,0.111,0.111,0.0,0.556,0.444,1.556,0.411,-0.556,0.538,0.538,0.462,0.0,4.333,11.133,7.5,5.333,1.467,0.0,20.467,29.5,94.667,110.667,-3.8
2003-04,2003-11-20,SUN,MAG,SUN,2.646,0.6,1.3,0.462,0.4,0.7,0.571,0.2,0.6,0.333,0.0,0.0,0.0,0.1,0.2,0.3,0.1,0.1,0.0,0.5,0.4,1.4,0.37,-0.5,0.538,0.538,0.462,0.0,4.333,11.133,7.5,5.333,1.467,0.0,20.467,29.5,94.667,110.667,-3.8
2003-04,2003-11-22,SUN,HEA,SUN,2.785,0.545,1.273,0.429,0.364,0.636,0.571,0.182,0.636,0.286,0.0,0.0,0.0,0.091,0.182,0.273,0.182,0.091,0.0,0.455,0.364,1.273,0.336,0.0,0.5,0.5,0.5,0.0,3.25,8.35,5.625,11.5,1.1,0.0,15.35,25.25,84.5,111.75,-6.25
2003-04,2003-11-25,SUN,NUG,NUG,3.312,0.583,1.333,0.438,0.333,0.667,0.5,0.25,0.667,0.375,0.0,0.0,0.0,0.083,0.167,0.25,0.167,0.083,0.0,0.417,0.417,1.417,0.442,0.583,0.531,0.531,0.5,0.0,2.6,6.68,4.5,9.2,0.88,0.0,12.28,22.34,95.4,112.8,-5.26
2003-04,2003-11-26,SUN,MAV,SUN,4.196,0.615,1.615,0.381,0.385,0.923,0.417,0.231,0.692,0.333,0.0,0.0,0.0,0.077,0.154,0.231,0.231,0.308,0.0,0.615,0.462,1.462,0.346,-0.385,0.452,0.452,0.429,0.0,2.167,5.567,3.75,9.45,2.35,0.0,16.483,22.15,85.0,112.333,-6.05
2003-04,2003-11-28,SUN,WAR,SUN,4.179,0.571,1.5,0.381,0.357,0.857,0.417,0.214,0.643,0.333,0.0,0.0,0.0,0.071,0.143,0.214,0.357,0.357,0.0,0.571,0.429,1.357,0.493,0.0,0.452,0.452,0.429,0.0,1.857,4.771,3.214,16.071,3.971,0.0,14.129,18.986,104.714,108.286,-1.014
2003-04,2003-12-01,SUN,PAC,SUN,4.205,0.533,1.533,0.348,0.333,0.867,0.385,0.2,0.667,0.3,0.133,0.133,1.0,0.067,0.133,0.2,0.4,0.333,0.0,0.533,0.467,1.4,0.52,0.4,0.44,0.413,0.435,0.087,1.625,4.175,2.813,18.062,3.475,0.0,12.362,19.975,102.875,108.5,-1.775
2003-04,2003-12-05,SUN,CEL,CEL,4.271,0.688,1.625,0.423,0.438,0.938,0.467,0.25,0.688,0.364,0.125,0.25,0.5,0.062,0.125,0.188,0.375,0.375,0.0,0.5,0.438,1.75,0.881,0.75,0.504,0.5,0.423,0.077,1.444,3.711,2.5,16.056,4.267,0.0,10.989,21.756,107.111,106.111,3.522
2003-04,2003-12-06,SUN,NNE,NNE,4.568,0.765,1.706,0.448,0.529,1.0,0.529,0.235,0.706,0.333,0.118,0.235,0.5,0.118,0.176,0.294,0.412,0.412,0.0,0.647,0.471,1.882,0.947,1.059,0.52,0.517,0.414,0.069,2.49,4.41,3.37,16.56,4.35,0.0,14.89,22.36,103.7,105.4,2.55
2003-04,2003-12-08,SUN,MAG,MAG,4.693,0.944,2.0,0.472,0.667,1.111,0.6,0.278,0.889,0.313,0.111,0.222,0.5,0.111,0.167,0.278,0.389,0.444,0.0,0.667,0.444,2.278,1.211,0.722,0.543,0.542,0.444,0.056,2.264,4.009,3.064,15.055,4.582,0.0,14.673,24.764,103.364,104.273,4.382
2003-04,2003-12-09,SUN,HEA,HEA,4.558,0.895,1.947,0.459,0.632,1.105,0.571,0.263,0.842,0.312,0.105,0.211,0.5,0.105,0.158,0.263,0.368,0.421,0.0,0.632,0.421,2.158,1.111,0.474,0.529,0.527,0.432,0.054,2.075,3.675,2.808,13.8,4.2,0.0,13.45,23.9,94.75,105.917,1.692
2003-04,2003-12-13,SUN,CLI,CLI,4.49,0.85,1.9,0.447,0.6,1.05,0.571,0.25,0.85,0.294,0.1,0.2,0.5,0.1,0.15,0.25,0.35,0.4,0.0,0.6,0.45,2.05,1.0,0.35,0.516,0.513,0.447,0.053,1.915,3.392,2.592,12.738,3.877,0.0,12.415,23.031,87.462,106.538,-0.477
2003-04,2003-12-14,SUN,KIN,KIN,4.276,0.81,1.81,0.447,0.571,1.0,0.571,0.238,0.81,0.294,0.095,0.19,0.5,0.095,0.143,0.238,0.333,0.381,0.0,0.571,0.429,1.952,0.952,0.333,0.516,0.513,0.447,0.053,1.915,3.392,2.592,12.738,3.877,0.0,12.415,23.031,87.462,106.538,-0.477
2003-04,2003-12-16,SUN,SUP,SUN,4.082,0.773,1.727,0.447,0.545,0.955,0.571,0.227,0.773,0.294,0.091,0.182,0.5,0.091,0.136,0.227,0.318,0.364,0.0,0.545,0.409,1.864,0.909,0.318,0.516,0.513,0.447,0.053,1.915,3.392,2.592,12.738,3.877,0.0,12.415,23.031,87.462,106.538,-0.477
2003-04,2003-12-18,SUN,BLA,BLA,4.375,0.87,1.87,0.465,0.652,1.087,0.6,0.217,0.783,0.278,0.087,0.174,0.5,0.087,0.174,0.261,0.304,0.478,0.0,0.609,0.435,2.043,1.07,0.652,0.525,0.523,0.419,0.047,1.779,3.971,2.75,11.829,4.621,0.0,13.571,23.436,86.857,103.786,0.407
2003-04,2003-12-20,SUN,ROC,SUN,4.767,0.917,1.958,0.468,0.667,1.125,0.593,0.25,0.833,0.3,0.083,0.167,0.5,0.083,0.167,0.25,0.333,0.542,0.0,0.583,0.458,2.167,1.246,0.458,0.533,0.532,0.426,0.043,1.66,3.707,2.567,11.773,4.833,0.0,12.667,22.813,89.333,104.067,0.867
2003-04,2003-12-21,SUN,LAK,LAK,4.942,0.96,2.08,0.462,0.68,1.2,0.567,0.28,0.88,0.318,0.08,0.16,0.5,0.08,0.2,0.28,0.32,0.56,0.0,0.56,0.56,2.28,1.292,-0.04,0.53,0.529,0.423,0.038,1.556,4.112,2.769,11.038,4.856,0.0,11.875,22.831,90.0,103.25,0.837
2003-04,2003-12-23,SUN,SUP,SUP,5.004,0.962,2.077,0.463,0.654,1.192,0.548,0.308,0.885,0.348,0.077,0.154,0.5,0.077,0.231,0.308,0.308,0.538,0.0,0.577,0.538,2.308,1.292,-0.192,0.538,0.537,0.426,0.037,1.465,4.988,3.129,10.388,4.571,0.0,13.135,22.747,90.059,104.235,0.565
2003-04,2003-12-26,SUN,CEL,SUN,5.504,1.0,2.296,0.435,0.667,1.333,0.5,0.333,0.963,0.346,0.185,0.259,0.714,0.074,0.259,0.333,0.407,0.556,0.0,0.556,0.556,2.519,1.474,-0.481,0.522,0.508,0.419,0.081,1.383,5.161,3.156,11.261,4.472,0.0,12.406,22.778,91.056,105.278,0.572
2003-04,2003-12-28,SUN,76E,SUN,5.519,1.036,2.357,0.439,0.714,1.357,0.526,0.321,1.0,0.321,0.179,0.25,0.714,0.071,0.25,0.321,0.393,0.571,0.0,0.536,0.536,2.571,1.529,-0.143,0.521,0.508,0.424,0.076,1.311,4.889,2.989,10.668,4.674,0.0,11.753,23.053,91.737,104.895,0.984
2003-04,2003-12-29,SUN,CLI,CLI,5.484,1.034,2.345,0.441,0.724,1.345,0.538,0.31,1.0,0.31,0.172,0.241,0.714,0.069,0.241,0.31,0.379,0.552,0.0,0.517,0.517,2.552,1.51,-0.31,0.521,0.507,0.426,0.074,1.245,4.645,2.84,10.135,4.44,0.0,11.165,22.83,92.45,105.35,0.605
2003-04,2004-01-02,SUN,PIS,PIS,5.492,1.0,2.4,0.417,0.7,1.367,0.512,0.3,1.033,0.29,0.167,0.233,0.714,0.067,0.267,0.333,0.367,0.533,0.0,0.5,0.5,2.467,1.377,-0.333,0.493,0.479,0.431,0.069,1.186,5.376,3.176,9.652,4.229,0.0,10.633,23.148,88.048,105.762,-1.143
2003-04,2004-01-04,SUN,RAP,RAP,5.527,1.0,2.387,0.419,0.677,1.355,0.5,0.323,1.032,0.312,0.161,0.226,0.714,0.065,0.29,0.355,0.355,0.516,0.0,0.484,0.516,2.484,1.394,-0.355,0.499,0.486,0.432,0.068,1.132,5.782,3.386,9.214,4.036,0.0,10.15,22.736,90.091,106.0,-0.945
2003-04,2004-01-05,SUN,BUL,BUL,5.655,1.0,2.375,0.421,0.656,1.344,0.488,0.344,1.031,0.333,0.156,0.219,0.714,0.062,0.281,0.344,0.438,0.562,0.0,0.562,0.625,2.5,1.397,-0.281,0.506,0.493,0.434,0.066,1.083,5.53,3.239,12.022,4.4,0.0,12.317,22.9,89.348,104.87,-0.77
2003-04,2004-01-07,SUN,BUC,BUC,6.653,1.303,2.848,0.457,0.909,1.667,0.545,0.394,1.182,0.333,0.242,0.333,0.727,0.091,0.333,0.424,0.545,0.606,0.0,0.576,0.727,3.242,2.018,-0.152,0.541,0.527,0.415,0.085,1.158,5.517,3.275,12.575,4.329,0.0,12.004,22.954,91.208,104.75,-0.292
2003-04,2004-01-09,SUN,KIN,SUN,7.646,1.441,3.118,0.462,0.941,1.765,0.533,0.5,1.353,0.37,0.235,0.324,0.727,0.118,0.353,0.471,0.618,0.676,0.0,0.735,0.794,3.618,2.221,-0.147,0.555,0.542,0.434,0.075,1.24,5.412,3.264,12.588,4.312,0.0,12.856,22.864,91.12,104.76,-0.272
2003-04,2004-01-13,SUN,NUG,SUN,8.188,1.486,3.171,0.468,0.943,1.743,0.541,0.543,1.429,0.38,0.229,0.314,0.727,0.114,0.429,0.543,0.686,0.743,0.029,0.771,0.886,3.743,2.409,-0.714,0.565,0.554,0.45,0.072,1.192,5.723,3.377,12.762,4.354,0.115,13.462,22.423,91.962,104.615,-0.008
2003-04,2004-01-15,SUN,BLA,BLA,8.763,1.556,3.444,0.452,0.972,1.917,0.507,0.583,1.528,0.382,0.222,0.306,0.727,0.111,0.417,0.528,0.75,0.722,0.028,0.778,0.944,3.917,2.408,-0.972,0.547,0.536,0.444,0.065,1.148,5.511,3.252,12.856,4.193,0.111,13.226,22.419,91.704,105.37,-0.4
2003-04,2004-01-16,SUN,WAR,SUN,9.234,1.676,3.595,0.466,1.054,2.054,0.513,0.622,1.541,0.404,0.27,0.351,0.769,0.135,0.459,0.595,0.892,0.73,0.027,0.865,1.0,4.243,2.705,-0.405,0.566,0.553,0.429,0.075,1.289,5.664,3.404,13.664,4.121,0.107,13.782,22.532,92.929,105.607,-0.157
2003-04,2004-01-18,SUN,BLA,SUN,9.483,1.737,3.684,0.471,1.079,2.079,0.519,0.658,1.605,0.41,0.263,0.342,0.769,0.132,0.474,0.605,0.974,0.711,0.026,0.895,1.105,4.395,2.787,-0.237,0.573,0.561,0.436,0.071,1.245,5.703,3.424,14.448,3.979,0.103,14.072,22.583,94.069,105.862,-0.179
2003-04,2004-01-19,SUN,LAK,LAK,10.181,1.846,3.897,0.474,1.154,2.205,0.523,0.692,1.692,0.409,0.41,0.513,0.8,0.154,0.513,0.667,1.077,0.795,0.026,1.051,1.154,4.795,3.079,-0.051,0.581,0.563,0.434,0.105,1.317,5.737,3.48,14.733,4.027,0.1,14.66,22.667,94.3,105.433,-0.063
2003-04,2004-01-21,SUN,NUG,NUG,10.513,1.9,4.025,0.472,1.175,2.275,0.516,0.725,1.75,0.414,0.4,0.5,0.8,0.15,0.5,0.65,1.075,0.8,0.025,1.075,1.225,4.925,3.088,-0.2,0.58,0.562,0.435,0.099,1.274,5.552,3.368,14.519,3.974,0.097,14.774,22.671,94.194,105.323,-0.219
2003-04,2004-01-23,SUN,SPU,SUN,10.892,1.951,4.146,0.471,1.244,2.39,0.52,0.707,1.756,0.403,0.39,0.488,0.8,0.146,0.561,0.707,1.146,0.805,0.049,1.098,1.22,5.0,3.166,-0.317,0.573,0.556,0.424,0.094,1.234,5.884,3.466,14.703,3.912,0.188,14.881,22.513,94.062,105.438,-0.325
2003-04,2004-01-25,SUN,TIM,TIM,11.274,1.952,4.214,0.463,1.214,2.381,0.51,0.738,1.833,0.403,0.381,0.476,0.8,0.143,0.548,0.69,1.143,0.81,0.048,1.143,1.214,5.024,3.095,-0.333,0.568,0.551,0.435,0.09,1.197,5.706,3.361,14.455,3.855,0.182,15.339,22.388,93.212,105.424,-0.512
2003-04,2004-01-27,SUN,HAW,HAW,11.857,1.953,4.279,0.457,1.186,2.349,0.505,0.767,1.93,0.398,0.372,0.465,0.8,0.14,0.651,0.791,1.209,0.837,0.047,1.14,1.326,5.047,3.135,-0.605,0.563,0.546,0.451,0.087,1.162,6.006,3.491,14.5,3.826,0.176,15.256,22.035,93.147,105.412,-0.6
2003-04,2004-01-28,SUN,PAC,PAC,12.262,1.977,4.455,0.444,1.182,2.432,0.486,0.795,2.023,0.393,0.364,0.455,0.8,0.136,0.636,0.773,1.273,0.909,0.045,1.136,1.364,5.114,3.186,-0.159,0.549,0.533,0.454,0.082,1.129,5.834,3.391,14.783,3.911,0.171,15.04,21.989,92.514,104.886,-0.589
2003-04,2004-01-30,SUN,WIZ,WIZ,12.607,1.956,4.511,0.433,1.156,2.489,0.464,0.8,2.022,0.396,0.356,0.444,0.8,0.133,0.667,0.8,1.289,0.889,0.044,1.156,1.356,5.067,3.073,-0.333,0.538,0.522,0.448,0.079,1.097,5.908,3.414,14.667,3.803,0.167,15.239,21.778,91.194,105.139,-0.917
2003-04,2004-01-31,SUN,KNI,KNI,12.976,2.0,4.609,0.434,1.217,2.522,0.483,0.783,2.087,0.375,0.348,0.435,0.8,0.174,0.696,0.87,1.348,0.891,0.043,1.174,1.413,5.13,3.126,-0.565,0.534,0.519,0.453,0.075,1.251,5.924,3.5,14.792,3.743,0.162,15.319,21.603,91.189,105.162,-1.086
2003-04,2004-02-02,SUN,ROC,SUN,13.431,2.043,4.702,0.434,1.255,2.596,0.484,0.787,2.106,0.374,0.34,0.426,0.8,0.17,0.723,0.894,1.447,0.872,0.043,1.191,1.426,5.213,3.194,-0.681,0.533,0.518,0.448,0.072,1.218,5.934,3.487,15.137,3.645,0.158,15.395,21.403,91.421,105.632,-1.218
2003-04,2004-02-04,SUN,BLA,SUN,13.793,2.083,4.771,0.437,1.25,2.562,0.488,0.833,2.208,0.377,0.375,0.458,0.818,0.188,0.812,1.0,1.521,0.875,0.062,1.25,1.458,5.375,3.36,-0.542,0.54,0.524,0.463,0.079,1.292,6.172,3.664,15.392,3.595,0.223,15.797,21.362,91.923,105.154,-1.072
2003-04,2004-02-06,SUN,SUP,SUN,14.111,2.102,4.755,0.442,1.245,2.531,0.492,0.857,2.224,0.385,0.408,0.49,0.833,0.184,0.796,0.98,1.531,0.857,0.061,1.306,1.49,5.469,3.386,-0.857,0.55,0.532,0.468,0.086,1.26,6.018,3.573,15.302,3.505,0.217,16.528,21.178,92.325,105.525,-1.158
2003-04,2004-02-07,SUN,JAZ,SUN,14.568,2.24,4.94,0.453,1.34,2.68,0.5,0.9,2.26,0.398,0.4,0.5,0.8,0.22,0.84,1.06,1.68,0.92,0.08,1.28,1.52,5.78,3.848,-0.74,0.56,0.545,0.457,0.081,1.354,6.12,3.663,15.783,3.561,0.266,16.124,21.076,94.122,105.634,-0.629
2003-04,2004-02-10,SUN,RAP,SUN,14.72,2.216,4.961,0.447,1.333,2.686,0.496,0.882,2.275,0.388,0.412,0.529,0.778,0.216,0.843,1.059,1.725,0.922,0.078,1.314,1.529,5.725,3.755,-0.902,0.551,0.536,0.458,0.083,1.321,6.107,3.648,16.155,3.536,0.26,16.464,21.119,93.143,105.857,-1.012
2003-04,2004-02-11,SUN,WAR,WAR,14.973,2.231,4.962,0.45,1.327,2.692,0.493,0.904,2.269,0.398,0.404,0.519,0.778,0.212,0.865,1.077,1.712,0.923,0.077,1.327,1.577,5.769,3.767,-1.231,0.556,0.541,0.457,0.081,1.291,6.209,3.665,15.914,3.5,0.253,16.747,20.905,93.442,106.116,-1.091
2003-04,2004-02-17,SUN,TIM,TIM,15.08,2.208,4.906,0.45,1.302,2.66,0.489,0.906,2.245,0.403,0.396,0.509,0.778,0.208,0.868,1.075,1.736,0.925,0.075,1.34,1.604,5.717,3.738,-1.434,0.557,0.542,0.458,0.081,1.261,6.205,3.65,16.002,3.475,0.248,17.502,20.618,93.386,106.341,-1.139
2003-04,2004-02-20,SUN,GRI,GRI,15.105,2.167,4.889,0.443,1.278,2.667,0.479,0.889,2.222,0.4,0.389,0.5,0.778,0.204,0.889,1.093,1.741,0.907,0.074,1.37,1.667,5.611,3.561,-1.444,0.549,0.534,0.455,0.08,1.233,6.447,3.738,16.051,3.398,0.242,18.067,20.576,91.622,106.733,-1.744
2003-04,2004-02-22,SUN,LAK,SUN,15.312,2.2,4.927,0.446,1.309,2.727,0.48,0.891,2.2,0.405,0.4,0.509,0.786,0.218,0.909,1.127,1.764,0.927,0.073,1.418,1.691,5.691,3.622,-1.491,0.552,0.537,0.446,0.081,1.285,6.472,3.776,16.089,3.402,0.237,18.435,20.496,91.739,106.587,-1.678
2003-04,2004-02-25,SUN,KNI,SUN,15.341,2.214,4.929,0.449,1.304,2.714,0.48,0.911,2.214,0.411,0.393,0.5,0.786,0.214,0.911,1.125,1.75,0.946,0.071,1.429,1.732,5.732,3.648,-1.607,0.557,0.542,0.449,0.08,1.257,6.481,3.779,15.957,3.462,0.232,18.651,20.46,92.085,106.617,-1.564
2003-04,2004-02-27,SUN,SUP,SUP,15.493,2.193,4.93,0.445,1.298,2.702,0.481,0.895,2.228,0.402,0.386,0.491,0.786,0.246,0.93,1.175,1.789,0.93,0.07,1.421,1.754,5.667,3.611,-1.439,0.551,0.536,0.452,0.078,1.435,6.54,3.898,15.996,3.39,0.227,18.61,20.248,92.042,106.604,-1.7
2003-04,2004-02-29,SUN,KIN,KIN,15.592,2.259,5.052,0.447,1.362,2.793,0.488,0.897,2.259,0.397,0.379,0.483,0.786,0.241,0.948,1.19,1.81,0.966,0.086,1.397,1.741,5.793,3.772,-1.362,0.55,0.536,0.447,0.075,1.406,6.604,3.922,16.182,3.467,0.294,18.231,20.357,92.653,106.347,-1.384
2003-04,2004-03-03,SUN,NNE,SUN,15.782,2.322,5.169,0.449,1.407,2.864,0.491,0.915,2.305,0.397,0.373,0.492,0.759,0.237,0.949,1.186,1.797,0.983,0.085,1.39,1.797,5.932,3.837,-1.508,0.551,0.538,0.446,0.072,1.378,6.55,3.882,16.0,3.476,0.288,18.014,20.4,92.94,106.46,-1.328
2003-04,2004-03-06,SUN,SPU,SUN,15.959,2.35,5.217,0.45,1.417,2.883,0.491,0.933,2.333,0.4,0.4,0.55,0.727,0.233,0.967,1.2,1.783,1.017,0.083,1.383,1.8,6.033,3.935,-1.283,0.553,0.54,0.447,0.077,1.351,6.612,3.898,15.818,3.541,0.282,17.843,20.402,93.49,106.0,-1.124
2003-04,2004-03-08,SUN,MAV,MAV,16.164,2.328,5.23,0.445,1.41,2.918,0.483,0.918,2.311,0.397,0.426,0.574,0.743,0.246,1.049,1.295,1.77,1.016,0.082,1.377,1.82,6.0,3.907,-1.443,0.547,0.533,0.442,0.082,1.413,6.979,4.123,15.623,3.51,0.277,17.744,20.265,93.019,106.154,-1.258
2003-04,2004-03-12,SUN,JAZ,SUN,16.199,2.306,5.226,0.441,1.403,2.919,0.481,0.903,2.306,0.392,0.419,0.565,0.743,0.242,1.048,1.29,1.758,1.0,0.081,1.355,1.823,5.935,3.829,-1.581,0.542,0.528,0.441,0.08,1.387,6.943,4.1,15.506,3.443,0.272,17.409,20.13,92.415,106.566,-1.519
2003-04,2004-03-13,SUN,MAV,SUN,16.183,2.302,5.206,0.442,1.397,2.921,0.478,0.905,2.286,0.396,0.444,0.587,0.757,0.238,1.032,1.27,1.762,0.984,0.079,1.333,1.857,5.952,3.844,-1.54,0.545,0.529,0.439,0.085,1.361,6.815,4.024,15.681,3.38,0.267,17.087,20.02,93.759,106.704,-1.446
2003-04,2004-03-15,SUN,ROC,ROC,16.21,2.281,5.188,0.44,1.375,2.906,0.473,0.906,2.281,0.397,0.438,0.578,0.757,0.25,1.047,1.297,1.766,0.984,0.078,1.344,1.922,5.906,3.783,-1.75,0.543,0.527,0.44,0.084,1.427,6.871,4.087,15.727,3.367,0.262,17.382,19.922,93.291,106.818,-1.624
2003-04,2004-03-16,SUN,CLI,SUN,16.465,2.323,5.277,0.44,1.385,2.938,0.471,0.938,2.338,0.401,0.446,0.585,0.763,0.246,1.123,1.369,1.815,1.046,0.077,1.354,1.969,6.031,3.949,-1.662,0.545,0.529,0.443,0.085,1.402,7.148,4.182,16.071,3.452,0.257,17.338,19.886,93.714,106.411,-1.387
2003-04,2004-03-19,SUN,TIM,SUN,16.675,2.318,5.318,0.436,1.394,3.0,0.465,0.924,2.318,0.399,0.485,0.636,0.762,0.258,1.152,1.409,1.803,1.091,0.076,1.379,2.03,6.045,3.93,-1.712,0.54,0.523,0.436,0.091,1.439,7.205,4.232,15.868,3.511,0.253,17.446,19.872,93.246,106.421,-1.5
2003-04,2004-03-20,SUN,BUC,SUN,16.923,2.388,5.448,0.438,1.463,3.09,0.473,0.925,2.358,0.392,0.478,0.627,0.762,0.269,1.164,1.433,1.806,1.075,0.075,1.358,2.015,6.179,4.025,-1.701,0.54,0.523,0.433,0.088,1.469,7.19,4.241,15.816,3.45,0.248,17.145,19.862,93.586,106.517,-1.45
2003-04,2004-03-23,SUN,CAV,CAV,17.095,2.397,5.456,0.439,1.456,3.074,0.474,0.941,2.382,0.395,0.5,0.676,0.739,0.265,1.162,1.426,1.809,1.088,0.074,1.397,2.015,6.235,4.041,-1.456,0.542,0.526,0.437,0.092,1.444,7.137,4.208,15.702,3.453,0.244,17.431,19.842,93.525,106.661,-1.497
2003-04,2004-03-24,SUN,76E,76E,17.197,2.406,5.464,0.44,1.478,3.087,0.479,0.928,2.377,0.39,0.522,0.696,0.75,0.261,1.174,1.435,1.841,1.101,0.072,1.391,2.014,6.261,4.107,-1.348,0.543,0.525,0.435,0.095,1.42,7.143,4.218,15.782,3.468,0.24,17.352,19.767,94.067,106.45,-1.415
2003-04,2004-03-26,SUN,NHO,NHO,17.23,2.4,5.457,0.44,1.457,3.043,0.479,0.943,2.414,0.391,0.514,0.686,0.75,0.257,1.186,1.443,1.843,1.1,0.071,1.4,2.057,6.257,4.081,-1.514,0.543,0.526,0.442,0.094,1.397,7.239,4.257,15.792,3.461,0.236,17.536,19.711,94.246,106.656,-1.469
2003-04,2004-03-27,SUN,SPU,SPU,17.362,2.394,5.437,0.44,1.465,3.028,0.484,0.93,2.408,0.386,0.507,0.676,0.75,0.254,1.169,1.423,1.859,1.085,0.07,1.408,2.085,6.225,4.031,-1.479,0.543,0.526,0.443,0.093,1.374,7.123,4.189,15.787,3.405,0.232,17.79,19.566,94.048,106.839,-1.655
2003-04,2004-03-29,SUN,WIZ,SUN,17.121,2.361,5.361,0.44,1.444,2.986,0.484,0.917,2.375,0.386,0.5,0.667,0.75,0.25,1.153,1.403,1.833,1.069,0.069,1.389,2.056,6.139,3.975,-1.458,0.543,0.526,0.443,0.093,1.374,7.123,4.189,15.787,3.405,0.232,17.79,19.566,94.048,106.839,-1.655
2003-04,2004-04-02,SUN,GRI,GRI,17.368,2.384,5.397,0.442,1.466,3.0,0.489,0.918,2.397,0.383,0.534,0.712,0.75,0.274,1.164,1.438,1.877,1.068,0.068,1.384,2.11,6.219,4.067,-1.411,0.545,0.527,0.444,0.099,1.481,7.098,4.227,15.883,3.373,0.229,17.656,19.478,94.667,106.762,-1.6
2003-04,2004-04-03,SUN,MAV,MAV,17.591,2.405,5.486,0.438,1.473,3.041,0.484,0.932,2.446,0.381,0.527,0.703,0.75,0.27,1.216,1.486,1.919,1.068,0.068,1.378,2.149,6.27,4.096,-1.486,0.541,0.523,0.446,0.096,1.458,7.244,4.292,15.955,3.344,0.225,17.5,19.442,94.609,106.875,-1.662
2003-04,2004-04-07,SUN,NUG,SUN,17.785,2.453,5.613,0.437,1.48,3.093,0.478,0.973,2.52,0.386,0.533,0.707,0.755,0.28,1.2,1.48,1.947,1.067,0.067,1.4,2.173,6.413,4.159,-1.627,0.541,0.524,0.449,0.095,1.48,7.132,4.254,15.986,3.317,0.222,17.482,19.502,94.815,107.292,-1.665
