SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-11-11,BUL,RAP,BUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-14,BUL,ROC,ROC,2.025,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,-1.5,0.615,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7,124.0,121.0,3.7
2000-01,2000-11-16,BUL,NUG,NUG,6.467,2.333,5.0,0.467,2.0,4.667,0.429,0.333,0.333,1.0,0.333,0.333,1.0,0.667,0.0,0.667,0.0,0.333,0.0,0.0,1.0,5.333,3.167,-1.667,0.518,0.5,0.067,0.067,6.4,0.0,3.95,0.0,1.8,0.0,0.0,34.15,119.5,123.0,5.5
2000-01,2000-11-18,BUL,JAZ,JAZ,7.917,2.25,5.25,0.429,1.75,4.25,0.412,0.5,1.0,0.5,1.0,1.75,0.571,0.75,0.5,1.25,0.25,0.5,0.0,0.0,0.75,6.0,3.975,-1.0,0.498,0.476,0.19,0.19,7.3,7.633,7.7,6.067,2.733,0.0,0.0,33.967,114.333,113.667,6.8
2000-01,2000-11-19,BUL,LAK,LAK,8.618,1.8,5.2,0.346,1.4,4.4,0.318,0.4,0.8,0.5,1.2,1.8,0.667,0.6,0.4,1.0,0.2,0.4,0.0,0.0,1.0,5.2,2.72,-3.2,0.434,0.385,0.154,0.231,5.475,5.725,5.775,4.55,2.05,0.0,0.0,31.8,96.25,118.25,-0.6
2000-01,2000-11-21,BUL,WAR,WAR,9.773,2.0,5.5,0.364,1.5,4.167,0.36,0.5,1.333,0.375,1.0,1.667,0.6,0.5,0.333,0.833,0.333,0.333,0.0,0.167,1.5,5.5,2.433,-4.5,0.441,0.409,0.242,0.182,4.38,4.58,4.62,5.46,1.64,0.0,2.36,30.3,95.8,119.4,-2.82
2000-01,2000-11-22,BUL,KIN,KIN,8.377,1.714,4.714,0.364,1.286,3.571,0.36,0.429,1.143,0.375,0.857,1.429,0.6,0.429,0.286,0.714,0.286,0.286,0.0,0.143,1.286,4.714,2.086,-3.857,0.441,0.409,0.242,0.182,4.38,4.58,4.62,5.46,1.64,0.0,2.36,30.3,95.8,119.4,-2.82
2000-01,2000-11-26,BUL,RAP,RAP,10.124,2.0,5.75,0.348,1.625,4.625,0.351,0.375,1.125,0.333,1.0,1.75,0.571,0.375,0.375,0.75,0.5,0.625,0.375,0.5,1.625,5.375,2.312,-5.625,0.412,0.38,0.196,0.174,3.65,4.65,4.233,8.133,2.483,1.567,4.783,31.033,90.167,114.333,-1.95
2000-01,2000-11-28,BUL,TIM,BUL,12.219,2.444,6.444,0.379,1.889,4.778,0.395,0.556,1.667,0.333,0.889,1.556,0.571,0.444,0.333,0.778,0.556,0.667,0.444,0.667,2.111,6.333,2.8,-6.556,0.444,0.422,0.259,0.138,3.643,3.986,3.9,7.871,2.4,1.7,6.143,29.771,92.286,114.714,-1.829
2000-01,2000-11-30,BUL,HAW,HAW,13.069,2.4,6.3,0.381,1.8,4.6,0.391,0.6,1.7,0.353,1.0,1.6,0.625,0.5,0.6,1.1,0.8,0.6,0.4,0.7,2.0,6.4,3.18,-6.3,0.457,0.429,0.27,0.159,3.85,5.312,4.688,10.013,2.1,1.488,7.188,27.988,95.625,114.125,-1.162
2000-01,2000-12-01,BUL,KNI,BUL,13.392,2.455,6.273,0.391,1.909,4.636,0.412,0.545,1.636,0.333,1.0,1.636,0.611,0.455,0.818,1.273,0.727,0.636,0.364,0.727,2.091,6.455,3.191,-5.636,0.462,0.435,0.261,0.159,3.422,7.022,5.344,8.9,2.222,1.322,7.8,27.289,95.333,111.333,-1.567
2000-01,2000-12-05,BUL,TIM,TIM,13.161,2.333,5.917,0.394,1.833,4.333,0.423,0.5,1.583,0.316,0.917,1.5,0.611,0.417,0.75,1.167,0.75,0.583,0.333,0.75,2.167,6.083,2.883,-5.917,0.462,0.437,0.268,0.155,3.08,6.32,4.81,10.27,2.0,1.19,10.35,26.03,93.1,112.1,-2.82
2000-01,2000-12-06,BUL,CAV,BUL,15.398,2.385,6.615,0.36,1.923,5.0,0.385,0.462,1.615,0.286,0.923,1.615,0.571,0.769,0.769,1.538,0.846,0.692,0.385,1.0,2.385,6.154,2.569,-6.615,0.42,0.395,0.244,0.14,3.955,6.073,5.182,9.955,2.045,1.245,11.2,25.591,89.636,111.909,-3.891
