SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2020-21,2020-12-23,SUN,MAV,SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,2020-12-26,SUN,KIN,KIN,8.11,1.0,1.5,0.667,1.0,1.5,0.667,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,1.5,0.5,0.0,0.5,0.5,0.5,2.0,1.6,3.0,0.515,0.667,0.0,0.0,7.6,12.3,10.2,9.2,0.0,6.2,20.5,13.3,93.0,103.0,-0.3
2020-21,2020-12-27,SUN,KIN,KIN,6.767,0.667,1.667,0.4,0.667,1.333,0.5,0.0,0.333,0.0,0.0,0.667,0.0,1.0,0.667,1.667,0.333,0.0,0.333,0.333,0.333,1.333,1.067,3.0,0.34,0.4,0.2,0.0,26.85,6.15,17.35,4.6,0.0,3.1,10.25,16.9,77.0,108.5,-9.95
2020-21,2020-12-29,SUN,PEL,SUN,5.075,0.5,1.25,0.4,0.5,1.0,0.5,0.0,0.25,0.0,0.0,0.5,0.0,0.75,0.5,1.25,0.25,0.0,0.25,0.25,0.25,1.0,0.8,2.25,0.34,0.4,0.2,0.0,26.85,6.15,17.35,4.6,0.0,3.1,10.25,16.9,77.0,108.5,-9.95
2020-21,2021-01-06,SUN,RAP,SUN,4.06,0.4,1.0,0.4,0.4,0.8,0.5,0.0,0.2,0.0,0.0,0.4,0.0,0.6,0.4,1.0,0.2,0.0,0.2,0.2,0.2,0.8,0.64,1.8,0.34,0.4,0.2,0.0,26.85,6.15,17.35,4.6,0.0,3.1,10.25,16.9,77.0,108.5,-9.95
2020-21,2021-01-22,SUN,NUG,SUN,3.383,0.333,0.833,0.4,0.333,0.667,0.5,0.0,0.167,0.0,0.0,0.333,0.0,0.5,0.333,0.833,0.167,0.0,0.167,0.167,0.167,0.667,0.533,1.5,0.34,0.4,0.2,0.0,26.85,6.15,17.35,4.6,0.0,3.1,10.25,16.9,77.0,108.5,-9.95
2020-21,2021-01-23,SUN,NUG,SUN,2.9,0.286,0.714,0.4,0.286,0.571,0.5,0.0,0.143,0.0,0.0,0.286,0.0,0.429,0.286,0.714,0.143,0.0,0.143,0.143,0.143,0.571,0.457,1.286,0.34,0.4,0.2,0.0,26.85,6.15,17.35,4.6,0.0,3.1,10.25,16.9,77.0,108.5,-9.95
2020-21,2021-01-27,SUN,THU,SUN,3.634,0.5,1.0,0.5,0.375,0.625,0.6,0.125,0.375,0.333,0.0,0.25,0.0,0.5,0.375,0.875,0.125,0.0,0.25,0.125,0.375,1.125,0.975,0.5,0.507,0.562,0.375,0.0,21.567,8.1,15.4,3.067,0.0,5.667,6.833,16.833,103.667,107.333,-3.067
2020-21,2021-01-28,SUN,WAR,SUN,3.797,0.556,1.333,0.417,0.333,0.778,0.429,0.222,0.556,0.4,0.0,0.222,0.0,0.556,0.333,0.889,0.111,0.0,0.222,0.111,0.333,1.333,1.011,0.111,0.466,0.5,0.417,0.0,20.7,6.075,13.975,2.3,0.0,4.25,5.125,20.925,99.5,107.75,-3.45
2020-21,2021-01-30,SUN,MAV,MAV,3.924,0.6,1.4,0.429,0.4,0.9,0.444,0.2,0.5,0.4,0.0,0.2,0.0,0.5,0.3,0.8,0.1,0.0,0.2,0.1,0.3,1.4,1.01,-0.3,0.47,0.5,0.357,0.0,16.56,4.86,11.18,1.84,0.0,3.4,4.1,20.12,98.6,106.4,-4.0
2020-21,2021-02-01,SUN,MAV,MAV,3.567,0.545,1.273,0.429,0.364,0.818,0.444,0.182,0.455,0.4,0.0,0.182,0.0,0.455,0.273,0.727,0.091,0.0,0.182,0.091,0.273,1.273,0.918,-0.273,0.47,0.5,0.357,0.0,16.56,4.86,11.18,1.84,0.0,3.4,4.1,20.12,98.6,106.4,-4.0
2020-21,2021-02-03,SUN,PEL,PEL,3.27,0.5,1.167,0.429,0.333,0.75,0.444,0.167,0.417,0.4,0.0,0.167,0.0,0.417,0.25,0.667,0.083,0.0,0.167,0.083,0.25,1.167,0.842,-0.25,0.47,0.5,0.357,0.0,16.56,4.86,11.18,1.84,0.0,3.4,4.1,20.12,98.6,106.4,-4.0
2020-21,2021-02-05,SUN,PIS,SUN,3.492,0.462,1.231,0.375,0.308,0.769,0.4,0.154,0.462,0.333,0.0,0.154,0.0,0.385,0.308,0.692,0.154,0.0,0.154,0.077,0.231,1.077,0.746,0.077,0.415,0.438,0.375,0.0,13.8,7.3,10.883,4.95,0.0,2.833,3.417,19.25,87.5,111.333,-5.45
2020-21,2021-02-07,SUN,CEL,SUN,3.453,0.429,1.214,0.353,0.286,0.714,0.4,0.143,0.5,0.286,0.0,0.143,0.0,0.357,0.357,0.714,0.143,0.0,0.143,0.071,0.214,1.0,0.664,-0.357,0.391,0.412,0.412,0.0,11.829,10.329,11.771,4.243,0.0,2.429,2.929,18.557,75.0,108.286,-6.757
2020-21,2021-02-08,SUN,CAV,SUN,3.223,0.4,1.133,0.353,0.267,0.667,0.4,0.133,0.467,0.286,0.0,0.133,0.0,0.333,0.333,0.667,0.133,0.0,0.133,0.067,0.2,0.933,0.62,-0.333,0.391,0.412,0.412,0.0,11.829,10.329,11.771,4.243,0.0,2.429,2.929,18.557,75.0,108.286,-6.757
2020-21,2021-02-10,SUN,BUC,SUN,3.021,0.375,1.062,0.353,0.25,0.625,0.4,0.125,0.438,0.286,0.0,0.125,0.0,0.312,0.312,0.625,0.125,0.0,0.125,0.062,0.188,0.875,0.581,-0.312,0.391,0.412,0.412,0.0,11.829,10.329,11.771,4.243,0.0,2.429,2.929,18.557,75.0,108.286,-6.757
2020-21,2021-02-13,SUN,76E,SUN,2.844,0.353,1.0,0.353,0.235,0.588,0.4,0.118,0.412,0.286,0.0,0.118,0.0,0.294,0.294,0.588,0.118,0.0,0.118,0.059,0.176,0.824,0.547,-0.294,0.391,0.412,0.412,0.0,11.829,10.329,11.771,4.243,0.0,2.429,2.929,18.557,75.0,108.286,-6.757
2020-21,2021-02-26,SUN,BUL,BUL,2.762,0.333,0.944,0.353,0.222,0.556,0.4,0.111,0.389,0.286,0.0,0.111,0.0,0.278,0.278,0.556,0.111,0.0,0.111,0.056,0.167,0.778,0.517,-0.444,0.391,0.412,0.412,0.0,10.35,9.038,10.3,3.712,0.0,2.125,2.562,16.238,65.625,110.75,-6.225
2020-21,2021-02-28,SUN,TIM,TIM,2.671,0.316,0.895,0.353,0.211,0.526,0.4,0.105,0.368,0.286,0.0,0.105,0.0,0.263,0.263,0.526,0.105,0.0,0.105,0.053,0.158,0.737,0.489,-0.526,0.391,0.412,0.412,0.0,9.2,8.033,9.156,3.3,0.0,1.889,2.278,14.433,58.333,111.0,-6.433
2020-21,2021-03-02,SUN,LAK,LAK,2.691,0.3,0.9,0.333,0.2,0.5,0.4,0.1,0.4,0.25,0.0,0.1,0.0,0.25,0.25,0.5,0.1,0.0,0.1,0.05,0.2,0.7,0.41,-0.75,0.371,0.389,0.444,0.0,8.28,7.23,8.24,2.97,0.0,1.7,2.05,14.34,52.5,110.3,-8.02
2020-21,2021-03-04,SUN,WAR,SUN,2.563,0.286,0.857,0.333,0.19,0.476,0.4,0.095,0.381,0.25,0.0,0.095,0.0,0.238,0.238,0.476,0.095,0.0,0.095,0.048,0.19,0.667,0.39,-0.714,0.371,0.389,0.444,0.0,8.28,7.23,8.24,2.97,0.0,1.7,2.05,14.34,52.5,110.3,-8.02
2020-21,2021-03-11,SUN,BLA,BLA,2.612,0.318,0.864,0.368,0.227,0.5,0.455,0.091,0.364,0.25,0.0,0.091,0.0,0.227,0.273,0.5,0.091,0.0,0.091,0.045,0.182,0.727,0.464,-0.591,0.402,0.421,0.421,0.0,7.527,9.009,8.791,2.7,0.0,1.545,1.864,14.055,65.909,109.182,-6.6
2020-21,2021-03-13,SUN,PAC,SUN,2.499,0.304,0.826,0.368,0.217,0.478,0.455,0.087,0.348,0.25,0.0,0.087,0.0,0.217,0.261,0.478,0.087,0.0,0.087,0.043,0.174,0.696,0.443,-0.565,0.402,0.421,0.421,0.0,7.527,9.009,8.791,2.7,0.0,1.545,1.864,14.055,65.909,109.182,-6.6
2020-21,2021-03-15,SUN,GRI,SUN,2.395,0.292,0.792,0.368,0.208,0.458,0.455,0.083,0.333,0.25,0.0,0.083,0.0,0.208,0.25,0.458,0.083,0.0,0.083,0.042,0.167,0.667,0.425,-0.542,0.402,0.421,0.421,0.0,7.527,9.009,8.791,2.7,0.0,1.545,1.864,14.055,65.909,109.182,-6.6
2020-21,2021-03-18,SUN,TIM,SUN,2.478,0.32,0.8,0.4,0.24,0.48,0.5,0.08,0.32,0.25,0.04,0.12,0.333,0.2,0.36,0.56,0.08,0.0,0.08,0.08,0.2,0.76,0.496,-0.48,0.446,0.45,0.4,0.05,6.9,13.95,11.367,2.475,0.0,1.417,5.125,14.958,69.5,107.75,-6.025
2020-21,2021-03-19,SUN,TIM,SUN,2.383,0.308,0.769,0.4,0.231,0.462,0.5,0.077,0.308,0.25,0.038,0.115,0.333,0.192,0.346,0.538,0.077,0.0,0.077,0.077,0.192,0.731,0.477,-0.462,0.446,0.45,0.4,0.05,6.9,13.95,11.367,2.475,0.0,1.417,5.125,14.958,69.5,107.75,-6.025
2020-21,2021-03-21,SUN,LAK,SUN,2.364,0.296,0.741,0.4,0.222,0.444,0.5,0.074,0.296,0.25,0.037,0.111,0.333,0.185,0.333,0.519,0.074,0.0,0.074,0.111,0.222,0.704,0.407,-0.741,0.446,0.45,0.4,0.05,6.369,12.877,10.492,2.285,0.0,1.308,12.423,15.585,64.154,107.538,-8.423
2020-21,2021-03-23,SUN,HEA,HEA,2.31,0.286,0.75,0.381,0.214,0.429,0.5,0.071,0.321,0.222,0.036,0.107,0.333,0.179,0.357,0.536,0.071,0.0,0.071,0.107,0.25,0.679,0.364,-0.75,0.426,0.429,0.429,0.048,5.914,19.1,14.043,2.121,0.0,1.214,11.536,18.164,59.571,105.286,-12.564
2020-21,2021-03-24,SUN,MAG,MAG,2.278,0.276,0.724,0.381,0.207,0.414,0.5,0.069,0.31,0.222,0.034,0.103,0.333,0.172,0.345,0.517,0.069,0.0,0.069,0.103,0.241,0.655,0.352,-0.862,0.426,0.429,0.429,0.048,5.52,17.827,13.107,1.98,0.0,1.133,10.767,16.953,55.6,106.533,-12.167
2020-21,2021-03-26,SUN,RAP,RAP,2.202,0.267,0.7,0.381,0.2,0.4,0.5,0.067,0.3,0.222,0.033,0.1,0.333,0.167,0.333,0.5,0.067,0.0,0.067,0.1,0.233,0.633,0.34,-0.833,0.426,0.429,0.429,0.048,5.52,17.827,13.107,1.98,0.0,1.133,10.767,16.953,55.6,106.533,-12.167
2020-21,2021-03-28,SUN,HOR,HOR,2.131,0.258,0.677,0.381,0.194,0.387,0.5,0.065,0.29,0.222,0.032,0.097,0.333,0.161,0.323,0.484,0.065,0.0,0.065,0.097,0.226,0.613,0.329,-0.806,0.426,0.429,0.429,0.048,5.52,17.827,13.107,1.98,0.0,1.133,10.767,16.953,55.6,106.533,-12.167
2020-21,2021-03-30,SUN,HAW,SUN,2.065,0.25,0.656,0.381,0.188,0.375,0.5,0.062,0.281,0.222,0.031,0.094,0.333,0.156,0.312,0.469,0.062,0.0,0.062,0.094,0.219,0.594,0.319,-0.781,0.426,0.429,0.429,0.048,5.52,17.827,13.107,1.98,0.0,1.133,10.767,16.953,55.6,106.533,-12.167
2020-21,2021-03-31,SUN,BUL,SUN,2.002,0.242,0.636,0.381,0.182,0.364,0.5,0.061,0.273,0.222,0.03,0.091,0.333,0.152,0.303,0.455,0.061,0.0,0.061,0.091,0.212,0.576,0.309,-0.758,0.426,0.429,0.429,0.048,5.52,17.827,13.107,1.98,0.0,1.133,10.767,16.953,55.6,106.533,-12.167
2020-21,2021-04-02,SUN,THU,SUN,1.943,0.235,0.618,0.381,0.176,0.353,0.5,0.059,0.265,0.222,0.029,0.088,0.333,0.147,0.294,0.441,0.059,0.0,0.059,0.088,0.206,0.559,0.3,-0.735,0.426,0.429,0.429,0.048,5.52,17.827,13.107,1.98,0.0,1.133,10.767,16.953,55.6,106.533,-12.167
2020-21,2021-04-05,SUN,ROC,ROC,2.086,0.257,0.714,0.36,0.2,0.429,0.467,0.057,0.286,0.2,0.029,0.086,0.333,0.143,0.314,0.457,0.057,0.0,0.057,0.114,0.257,0.6,0.237,-0.571,0.399,0.4,0.4,0.04,5.175,17.656,12.838,1.856,0.0,1.062,11.344,17.875,54.625,106.75,-13.675
2020-21,2021-04-07,SUN,JAZ,SUN,2.028,0.25,0.694,0.36,0.194,0.417,0.467,0.056,0.278,0.2,0.028,0.083,0.333,0.139,0.306,0.444,0.056,0.0,0.056,0.111,0.25,0.583,0.231,-0.556,0.399,0.4,0.4,0.04,5.175,17.656,12.838,1.856,0.0,1.062,11.344,17.875,54.625,106.75,-13.675
2020-21,2021-04-08,SUN,CLI,CLI,1.973,0.243,0.676,0.36,0.189,0.405,0.467,0.054,0.27,0.2,0.027,0.081,0.333,0.135,0.297,0.432,0.054,0.0,0.054,0.108,0.243,0.568,0.224,-0.541,0.399,0.4,0.4,0.04,5.175,17.656,12.838,1.856,0.0,1.062,11.344,17.875,54.625,106.75,-13.675
2020-21,2021-04-10,SUN,WIZ,SUN,1.958,0.263,0.684,0.385,0.211,0.421,0.5,0.053,0.263,0.2,0.026,0.079,0.333,0.132,0.289,0.421,0.053,0.0,0.053,0.105,0.237,0.605,0.263,-0.368,0.421,0.423,0.385,0.038,4.871,16.618,12.082,1.747,0.0,1.0,10.676,18.876,63.176,108.647,-11.406
2020-21,2021-04-12,SUN,ROC,SUN,2.017,0.256,0.692,0.37,0.205,0.436,0.471,0.051,0.256,0.2,0.026,0.077,0.333,0.128,0.282,0.41,0.051,0.0,0.051,0.103,0.231,0.59,0.238,-0.308,0.406,0.407,0.37,0.037,4.6,15.694,11.411,1.65,0.0,0.944,10.083,18.383,59.667,108.611,-11.711
2020-21,2021-04-13,SUN,HEA,SUN,1.966,0.25,0.675,0.37,0.2,0.425,0.471,0.05,0.25,0.2,0.025,0.075,0.333,0.125,0.275,0.4,0.05,0.0,0.05,0.1,0.225,0.575,0.232,-0.3,0.406,0.407,0.37,0.037,4.6,15.694,11.411,1.65,0.0,0.944,10.083,18.383,59.667,108.611,-11.711
2020-21,2021-04-15,SUN,KIN,SUN,1.996,0.244,0.659,0.37,0.195,0.415,0.471,0.049,0.244,0.2,0.024,0.073,0.333,0.122,0.268,0.39,0.049,0.0,0.049,0.122,0.22,0.561,0.202,-0.244,0.406,0.407,0.37,0.037,4.358,14.868,10.811,1.563,0.0,0.895,14.816,18.147,56.526,108.158,-12.037
2020-21,2021-04-17,SUN,SPU,SUN,1.948,0.238,0.643,0.37,0.19,0.405,0.471,0.048,0.238,0.2,0.024,0.071,0.333,0.119,0.262,0.381,0.048,0.0,0.048,0.119,0.214,0.548,0.198,-0.238,0.406,0.407,0.37,0.037,4.358,14.868,10.811,1.563,0.0,0.895,14.816,18.147,56.526,108.158,-12.037
2020-21,2021-04-19,SUN,BUC,BUC,2.037,0.256,0.674,0.379,0.209,0.419,0.5,0.047,0.256,0.182,0.023,0.07,0.333,0.14,0.302,0.442,0.047,0.023,0.047,0.116,0.233,0.581,0.26,-0.209,0.412,0.414,0.379,0.034,4.885,16.315,11.6,1.485,0.43,0.85,14.075,17.99,59.55,107.55,-11.14
2020-21,2021-04-21,SUN,76E,76E,1.991,0.25,0.659,0.379,0.205,0.409,0.5,0.045,0.25,0.182,0.023,0.068,0.333,0.136,0.295,0.432,0.045,0.023,0.045,0.114,0.227,0.568,0.255,-0.205,0.412,0.414,0.379,0.034,4.885,16.315,11.6,1.485,0.43,0.85,14.075,17.99,59.55,107.55,-11.14
2020-21,2021-04-22,SUN,CEL,CEL,1.946,0.244,0.644,0.379,0.2,0.4,0.5,0.044,0.244,0.182,0.022,0.067,0.333,0.133,0.289,0.422,0.044,0.022,0.044,0.111,0.222,0.556,0.249,-0.2,0.412,0.414,0.379,0.034,4.885,16.315,11.6,1.485,0.43,0.85,14.075,17.99,59.55,107.55,-11.14
2020-21,2021-04-25,SUN,NET,NET,1.904,0.239,0.63,0.379,0.196,0.391,0.5,0.043,0.239,0.182,0.022,0.065,0.333,0.13,0.283,0.413,0.043,0.022,0.043,0.109,0.217,0.543,0.243,-0.196,0.412,0.414,0.379,0.034,4.885,16.315,11.6,1.485,0.43,0.85,14.075,17.99,59.55,107.55,-11.14
2020-21,2021-04-26,SUN,KNI,KNI,1.885,0.234,0.638,0.367,0.191,0.404,0.474,0.043,0.234,0.182,0.021,0.064,0.333,0.128,0.277,0.404,0.043,0.021,0.043,0.106,0.213,0.532,0.223,-0.17,0.399,0.4,0.367,0.033,4.652,15.538,11.048,1.414,0.41,0.81,13.405,19.157,56.714,109.095,-13.038
2020-21,2021-04-28,SUN,CLI,SUN,1.846,0.229,0.625,0.367,0.188,0.396,0.474,0.042,0.229,0.182,0.021,0.062,0.333,0.125,0.271,0.396,0.042,0.021,0.042,0.104,0.208,0.521,0.219,-0.167,0.399,0.4,0.367,0.033,4.652,15.538,11.048,1.414,0.41,0.81,13.405,19.157,56.714,109.095,-13.038
2020-21,2021-04-30,SUN,JAZ,SUN,1.818,0.224,0.612,0.367,0.184,0.388,0.474,0.041,0.224,0.182,0.02,0.061,0.333,0.122,0.265,0.388,0.041,0.02,0.041,0.102,0.204,0.51,0.214,-0.224,0.399,0.4,0.367,0.033,4.441,14.832,10.545,1.35,0.391,0.773,12.795,18.286,54.136,109.591,-12.727
2020-21,2021-05-02,SUN,THU,THU,1.875,0.28,0.66,0.424,0.22,0.42,0.524,0.06,0.24,0.25,0.02,0.06,0.333,0.12,0.28,0.4,0.04,0.02,0.04,0.1,0.2,0.64,0.338,-0.26,0.466,0.47,0.364,0.03,4.248,15.2,10.643,1.291,0.374,0.739,12.239,18.735,61.913,109.652,-10.67
2020-21,2021-05-04,SUN,CAV,CAV,1.838,0.275,0.647,0.424,0.216,0.412,0.524,0.059,0.235,0.25,0.02,0.059,0.333,0.118,0.275,0.392,0.039,0.02,0.039,0.098,0.196,0.627,0.331,-0.255,0.466,0.47,0.364,0.03,4.248,15.2,10.643,1.291,0.374,0.739,12.239,18.735,61.913,109.652,-10.67
2020-21,2021-05-05,SUN,HAW,HAW,1.821,0.269,0.635,0.424,0.212,0.404,0.524,0.058,0.231,0.25,0.019,0.058,0.333,0.115,0.269,0.385,0.038,0.019,0.038,0.096,0.212,0.615,0.317,-0.231,0.466,0.47,0.364,0.03,4.071,14.567,10.2,1.238,0.358,0.708,11.729,17.954,59.333,110.167,-11.371
2020-21,2021-05-07,SUN,KNI,SUN,1.938,0.283,0.642,0.441,0.226,0.415,0.545,0.057,0.226,0.25,0.094,0.132,0.714,0.113,0.302,0.415,0.038,0.019,0.038,0.113,0.245,0.717,0.396,-0.358,0.512,0.485,0.353,0.147,3.908,15.632,10.42,1.188,0.344,0.68,12.324,18.128,63.32,111.76,-10.952
2020-21,2021-05-09,SUN,LAK,LAK,1.903,0.278,0.63,0.441,0.222,0.407,0.545,0.056,0.222,0.25,0.093,0.13,0.714,0.111,0.296,0.407,0.037,0.019,0.037,0.111,0.241,0.704,0.389,-0.352,0.512,0.485,0.353,0.147,3.908,15.632,10.42,1.188,0.344,0.68,12.324,18.128,63.32,111.76,-10.952
2020-21,2021-05-11,SUN,WAR,WAR,1.868,0.273,0.618,0.441,0.218,0.4,0.545,0.055,0.218,0.25,0.091,0.127,0.714,0.109,0.291,0.4,0.036,0.018,0.036,0.109,0.236,0.691,0.382,-0.345,0.512,0.485,0.353,0.147,3.908,15.632,10.42,1.188,0.344,0.68,12.324,18.128,63.32,111.76,-10.952
2020-21,2021-05-13,SUN,BLA,SUN,1.835,0.268,0.607,0.441,0.214,0.393,0.545,0.054,0.214,0.25,0.089,0.125,0.714,0.107,0.286,0.393,0.036,0.018,0.036,0.107,0.232,0.679,0.375,-0.339,0.512,0.485,0.353,0.147,3.908,15.632,10.42,1.188,0.344,0.68,12.324,18.128,63.32,111.76,-10.952
2020-21,2021-05-15,SUN,SPU,SPU,1.802,0.263,0.596,0.441,0.211,0.386,0.545,0.053,0.211,0.25,0.088,0.123,0.714,0.105,0.281,0.386,0.035,0.018,0.035,0.105,0.228,0.667,0.368,-0.333,0.512,0.485,0.353,0.147,3.908,15.632,10.42,1.188,0.344,0.68,12.324,18.128,63.32,111.76,-10.952
2020-21,2021-05-16,SUN,SPU,SPU,1.978,0.293,0.672,0.436,0.241,0.448,0.538,0.052,0.224,0.231,0.086,0.121,0.714,0.121,0.345,0.466,0.034,0.017,0.052,0.121,0.224,0.724,0.412,-0.362,0.499,0.474,0.333,0.128,4.135,16.338,10.892,1.142,0.331,0.904,12.492,18.242,63.885,111.077,-10.869
2020-21,2021-05-23,SUN,LAK,SUN,2.639,0.373,0.847,0.44,0.305,0.559,0.545,0.068,0.288,0.235,0.085,0.119,0.714,0.119,0.508,0.627,0.068,0.017,0.085,0.119,0.271,0.898,0.573,-0.271,0.499,0.48,0.34,0.1,3.981,16.619,10.952,1.285,0.319,0.989,12.03,17.985,65.519,111.296,-10.693
2020-21,2021-05-25,SUN,LAK,SUN,2.595,0.367,0.833,0.44,0.3,0.55,0.545,0.067,0.283,0.235,0.083,0.117,0.714,0.117,0.5,0.617,0.067,0.017,0.083,0.117,0.267,0.883,0.563,-0.267,0.499,0.48,0.34,0.1,3.981,16.619,10.952,1.285,0.319,0.989,12.03,17.985,65.519,111.296,-10.693
2020-21,2021-05-27,SUN,LAK,LAK,2.553,0.361,0.82,0.44,0.295,0.541,0.545,0.066,0.279,0.235,0.082,0.115,0.714,0.115,0.492,0.607,0.066,0.016,0.082,0.115,0.262,0.869,0.554,-0.262,0.499,0.48,0.34,0.1,3.981,16.619,10.952,1.285,0.319,0.989,12.03,17.985,65.519,111.296,-10.693
2020-21,2021-05-30,SUN,LAK,LAK,2.511,0.355,0.806,0.44,0.29,0.532,0.545,0.065,0.274,0.235,0.081,0.113,0.714,0.113,0.484,0.597,0.065,0.016,0.081,0.113,0.258,0.855,0.545,-0.258,0.499,0.48,0.34,0.1,3.981,16.619,10.952,1.285,0.319,0.989,12.03,17.985,65.519,111.296,-10.693
2020-21,2021-06-01,SUN,LAK,SUN,2.472,0.349,0.794,0.44,0.286,0.524,0.545,0.063,0.27,0.235,0.079,0.111,0.714,0.111,0.476,0.587,0.063,0.016,0.079,0.111,0.254,0.841,0.537,-0.254,0.499,0.48,0.34,0.1,3.981,16.619,10.952,1.285,0.319,0.989,12.03,17.985,65.519,111.296,-10.693
2020-21,2021-06-03,SUN,LAK,LAK,2.502,0.359,0.797,0.451,0.281,0.516,0.545,0.078,0.281,0.278,0.078,0.109,0.714,0.109,0.5,0.609,0.062,0.016,0.078,0.109,0.25,0.875,0.58,-0.219,0.518,0.5,0.353,0.098,3.839,17.468,11.357,1.239,0.307,0.954,11.6,17.707,73.893,110.214,-9.514
2020-21,2021-06-07,SUN,NUG,SUN,2.463,0.354,0.785,0.451,0.277,0.508,0.545,0.077,0.277,0.278,0.077,0.108,0.714,0.108,0.492,0.6,0.062,0.015,0.077,0.108,0.246,0.862,0.571,-0.215,0.518,0.5,0.353,0.098,3.839,17.468,11.357,1.239,0.307,0.954,11.6,17.707,73.893,110.214,-9.514
2020-21,2021-06-09,SUN,NUG,SUN,2.46,0.348,0.773,0.451,0.273,0.5,0.545,0.076,0.273,0.278,0.076,0.106,0.714,0.106,0.485,0.591,0.076,0.015,0.076,0.121,0.242,0.848,0.558,-0.227,0.518,0.5,0.353,0.098,3.707,16.866,10.966,2.797,0.297,0.921,14.648,17.807,73.138,110.586,-9.314
2020-21,2021-06-11,SUN,NUG,NUG,2.514,0.343,0.791,0.434,0.269,0.522,0.514,0.075,0.269,0.278,0.075,0.104,0.714,0.134,0.478,0.612,0.075,0.015,0.075,0.119,0.269,0.836,0.537,-0.313,0.499,0.481,0.34,0.094,4.807,16.303,11.137,2.703,0.287,0.89,14.16,17.697,73.267,110.433,-9.713
2020-21,2021-06-13,SUN,NUG,NUG,2.477,0.338,0.779,0.434,0.265,0.515,0.514,0.074,0.265,0.278,0.074,0.103,0.714,0.132,0.471,0.603,0.074,0.015,0.074,0.118,0.265,0.824,0.529,-0.309,0.499,0.481,0.34,0.094,4.807,16.303,11.137,2.703,0.287,0.89,14.16,17.697,73.267,110.433,-9.713
2020-21,2021-06-20,SUN,CLI,SUN,2.441,0.333,0.768,0.434,0.261,0.507,0.514,0.072,0.261,0.278,0.072,0.101,0.714,0.13,0.464,0.594,0.072,0.014,0.072,0.116,0.261,0.812,0.522,-0.304,0.499,0.481,0.34,0.094,4.807,16.303,11.137,2.703,0.287,0.89,14.16,17.697,73.267,110.433,-9.713
2020-21,2021-06-22,SUN,CLI,SUN,2.406,0.329,0.757,0.434,0.257,0.5,0.514,0.071,0.257,0.278,0.071,0.1,0.714,0.129,0.457,0.586,0.071,0.014,0.071,0.114,0.257,0.8,0.514,-0.3,0.499,0.481,0.34,0.094,4.807,16.303,11.137,2.703,0.287,0.89,14.16,17.697,73.267,110.433,-9.713
2020-21,2021-06-24,SUN,CLI,CLI,2.372,0.324,0.746,0.434,0.254,0.493,0.514,0.07,0.254,0.278,0.07,0.099,0.714,0.127,0.451,0.577,0.07,0.014,0.07,0.113,0.254,0.789,0.507,-0.296,0.499,0.481,0.34,0.094,4.807,16.303,11.137,2.703,0.287,0.89,14.16,17.697,73.267,110.433,-9.713
2020-21,2021-06-26,SUN,CLI,CLI,2.361,0.319,0.736,0.434,0.25,0.486,0.514,0.069,0.25,0.278,0.069,0.097,0.714,0.125,0.458,0.583,0.069,0.014,0.069,0.111,0.25,0.778,0.504,-0.264,0.499,0.481,0.34,0.094,4.652,18.155,11.839,2.616,0.277,0.861,13.703,17.126,70.903,110.161,-9.426
2020-21,2021-06-28,SUN,CLI,SUN,2.329,0.315,0.726,0.434,0.247,0.479,0.514,0.068,0.247,0.278,0.068,0.096,0.714,0.123,0.452,0.575,0.068,0.014,0.068,0.11,0.247,0.767,0.497,-0.26,0.499,0.481,0.34,0.094,4.652,18.155,11.839,2.616,0.277,0.861,13.703,17.126,70.903,110.161,-9.426
2020-21,2021-06-30,SUN,CLI,CLI,2.314,0.311,0.716,0.434,0.243,0.473,0.514,0.068,0.243,0.278,0.068,0.095,0.714,0.122,0.446,0.568,0.068,0.014,0.068,0.108,0.243,0.757,0.491,-0.257,0.499,0.481,0.34,0.094,4.506,17.588,11.469,2.534,0.269,0.834,13.275,16.591,68.688,110.562,-9.278
2020-21,2021-07-06,SUN,BUC,SUN,2.31,0.32,0.72,0.444,0.253,0.48,0.528,0.067,0.24,0.278,0.067,0.093,0.714,0.12,0.44,0.56,0.067,0.013,0.067,0.107,0.24,0.773,0.507,-0.213,0.508,0.491,0.333,0.093,4.37,17.055,11.121,2.458,0.261,0.809,12.873,16.758,72.667,110.818,-8.573
