SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2021-22,2021-10-30,PIS,MAG,PIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,2021-11-02,PIS,BUC,PIS,9.46,0.5,4.0,0.125,0.5,1.5,0.333,0.0,2.5,0.0,0.0,0.0,0.0,1.0,2.5,3.5,1.0,0.0,0.5,1.0,0.0,1.0,-0.1,0.5,0.125,0.125,0.625,0.0,10.0,29.5,18.9,15.2,0.0,4.6,20.0,22.0,48.0,108.0,-18.0
2021-22,2021-11-04,PIS,76E,PIS,16.05,1.0,7.333,0.136,1.0,2.667,0.375,0.0,4.667,0.0,0.667,0.667,1.0,0.667,2.333,3.0,1.667,0.0,0.333,1.333,0.667,2.667,-1.1,-7.0,0.175,0.136,0.636,0.091,5.0,19.05,11.2,16.8,0.0,2.3,15.9,22.55,48.0,116.0,-17.45
2021-22,2021-11-05,PIS,NET,PIS,19.995,1.75,9.75,0.179,1.5,4.5,0.333,0.25,5.25,0.048,2.75,3.0,0.917,1.5,3.25,4.75,2.25,0.25,0.25,1.75,1.25,6.5,2.05,-3.5,0.294,0.192,0.538,0.282,7.7,19.567,13.067,18.133,0.567,1.533,14.7,26.567,64.0,116.667,-12.9
2021-22,2021-11-10,PIS,ROC,ROC,22.052,2.6,11.2,0.232,1.8,5.6,0.321,0.8,5.6,0.143,2.6,2.8,0.929,1.2,3.4,4.6,2.2,0.4,0.2,2.6,1.8,8.6,2.34,-6.0,0.346,0.268,0.5,0.232,5.775,18.55,11.575,16.975,0.825,1.15,17.3,28.7,66.0,113.0,-11.725
2021-22,2021-11-12,PIS,CAV,CAV,23.455,3.5,12.333,0.284,2.167,6.333,0.342,1.333,6.0,0.222,2.167,2.333,0.929,1.167,3.333,4.5,2.333,0.667,0.333,2.833,2.0,10.5,3.917,-4.833,0.393,0.338,0.486,0.176,5.26,17.14,10.64,16.8,1.3,1.58,17.48,28.78,72.8,110.8,-8.96
2021-22,2021-11-13,PIS,RAP,RAP,24.547,3.571,11.714,0.305,2.286,6.143,0.372,1.286,5.571,0.231,1.857,2.0,0.929,1.143,3.571,4.714,2.429,0.714,0.286,3.429,1.857,10.286,3.771,-5.429,0.408,0.36,0.476,0.159,5.0,17.417,10.733,17.383,1.35,1.317,22.35,27.567,71.333,110.0,-9.15
2021-22,2021-11-15,PIS,KIN,PIS,25.604,3.625,11.5,0.315,2.25,5.625,0.4,1.375,5.875,0.234,1.625,1.75,0.929,1.125,3.375,4.5,2.625,0.75,0.375,3.125,2.125,10.25,4.275,-4.25,0.418,0.375,0.511,0.141,4.914,15.971,10.057,17.129,1.371,1.514,20.457,25.8,77.429,112.714,-8.714
2021-22,2021-11-17,PIS,PAC,PIS,26.687,4.333,12.444,0.348,2.556,6.0,0.426,1.778,6.444,0.276,1.444,1.556,0.929,1.222,3.667,4.889,3.222,0.889,0.333,3.222,2.0,11.889,6.178,-5.444,0.453,0.42,0.518,0.116,4.95,16.4,10.25,20.325,1.538,1.325,19.988,25.95,82.5,114.0,-6.612
2021-22,2021-11-19,PIS,WAR,PIS,27.371,4.5,13.0,0.346,2.8,6.4,0.437,1.7,6.6,0.258,1.6,1.8,0.889,1.1,4.1,5.2,3.5,1.0,0.4,3.0,2.0,12.3,6.85,-4.6,0.446,0.412,0.508,0.123,4.4,17.678,10.611,21.822,1.7,1.556,18.3,26.233,83.667,111.333,-5.589
2021-22,2021-11-21,PIS,LAK,PIS,28.178,4.636,12.909,0.359,2.818,6.182,0.456,1.818,6.727,0.27,1.818,2.0,0.909,1.091,4.182,5.273,3.727,1.182,0.545,2.909,2.0,12.909,8.136,-4.545,0.468,0.43,0.521,0.141,4.25,17.65,10.51,22.94,1.97,1.93,17.74,25.59,88.8,111.1,-3.9
2021-22,2021-11-23,PIS,HEA,PIS,29.003,4.75,13.583,0.35,3.0,6.667,0.45,1.75,6.917,0.253,1.667,1.833,0.909,1.083,4.75,5.833,4.25,1.25,0.5,2.917,2.083,12.917,8.25,-4.167,0.449,0.414,0.509,0.123,4.109,18.973,11.082,24.091,2.009,1.755,17.264,25.609,87.909,111.091,-4.136
2021-22,2021-11-24,PIS,BUC,BUC,28.993,4.538,13.308,0.341,2.846,6.385,0.446,1.692,6.923,0.244,1.615,1.769,0.913,1.0,4.615,5.615,4.385,1.231,0.462,3.0,2.231,12.385,7.638,-4.692,0.44,0.405,0.52,0.121,3.767,18.483,10.642,24.708,1.992,1.608,18.133,25.4,85.667,110.917,-4.617
2021-22,2021-11-26,PIS,CLI,CLI,29.058,4.429,13.071,0.339,2.714,6.214,0.437,1.714,6.857,0.25,1.571,1.786,0.88,0.929,4.857,5.786,4.571,1.143,0.429,3.071,2.143,12.143,7.5,-6.0,0.438,0.404,0.525,0.12,3.477,19.254,10.808,25.769,1.838,1.485,18.808,25.1,85.0,111.308,-4.569
2021-22,2021-11-28,PIS,LAK,LAK,29.019,4.333,13.067,0.332,2.733,6.333,0.432,1.6,6.733,0.238,1.733,2.0,0.867,1.0,4.8,5.8,4.667,1.267,0.4,3.133,2.333,12.0,7.367,-5.6,0.43,0.393,0.515,0.133,3.657,18.843,10.714,26.514,2.064,1.379,18.95,25.293,84.143,110.5,-4.571
2021-22,2021-11-30,PIS,BLA,BLA,29.317,4.438,13.25,0.335,2.75,6.375,0.431,1.688,6.875,0.245,1.625,1.875,0.867,1.0,5.125,6.125,4.5,1.188,0.438,3.25,2.25,12.188,7.319,-5.25,0.433,0.399,0.519,0.123,3.613,19.6,11.1,25.387,1.927,1.46,19.273,25.347,83.467,110.333,-4.78
2021-22,2021-12-02,PIS,SUN,SUN,29.538,4.765,13.235,0.36,2.882,6.353,0.454,1.882,6.882,0.274,1.588,1.882,0.844,0.941,5.235,6.176,4.294,1.176,0.588,3.412,2.353,13.0,7.994,-4.941,0.462,0.431,0.52,0.12,3.388,19.7,11.125,24.425,1.9,1.875,19.956,25.444,84.938,109.938,-3.856
2021-22,2021-12-06,PIS,THU,PIS,29.636,4.944,13.333,0.371,3.0,6.556,0.458,1.944,6.778,0.287,1.5,1.778,0.844,0.944,5.0,5.944,4.333,1.167,0.611,3.5,2.389,13.333,8.2,-4.389,0.472,0.444,0.508,0.112,3.388,18.8,10.694,24.888,1.882,1.918,20.253,25.694,85.765,110.529,-3.576
2021-22,2021-12-08,PIS,WIZ,PIS,29.985,5.263,13.895,0.379,3.105,6.895,0.45,2.158,7.0,0.308,1.421,1.684,0.844,1.053,5.158,6.211,4.368,1.158,0.579,3.632,2.421,14.105,8.684,-4.526,0.482,0.456,0.504,0.102,3.639,19.156,10.978,24.894,1.85,1.811,20.239,26.139,86.833,110.944,-3.206
2021-22,2021-12-10,PIS,PEL,PEL,30.357,5.4,14.2,0.38,3.3,7.35,0.449,2.1,6.85,0.307,1.55,1.8,0.861,1.1,5.0,6.1,4.3,1.2,0.55,3.6,2.5,14.45,8.835,-4.5,0.482,0.454,0.482,0.109,3.832,18.495,10.763,24.453,1.9,1.716,19.811,26.447,87.316,111.368,-3.426
