SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2009-10,2009-10-28,TIM,NNE,TIM,29.43,5,13,0.385,5,13,0.385,0,0,0.0,8,10,0.8,1,3,4,2,2,0,3,2,18,11.3,-4,0.517,0.385,0.0,0.769,2.9,10.6,6.4,12.6,3.3,0.0,14.7,28.1,101,96,-0.5
2009-10,2009-10-30,TIM,CAV,TIM,26.37,6,10,0.6,5,8,0.625,1,2,0.5,4,4,1.0,1,1,2,3,1,0,5,1,17,11.1,-23,0.723,0.65,0.2,0.4,3.8,4.3,4.0,21.8,2.0,0.0,29.8,27.6,106,115,2.3
2009-10,2009-11-01,TIM,SUN,SUN,18.7,4,9,0.444,3,7,0.429,1,2,0.5,2,2,1.0,1,1,2,4,2,0,2,2,11,9.3,-4,0.557,0.5,0.222,0.222,5.6,6.1,5.8,29.6,5.3,0.0,16.8,26.0,113,119,3.9
2009-10,2009-11-02,TIM,CLI,CLI,21.95,4,8,0.5,3,7,0.429,1,1,1.0,4,4,1.0,1,2,3,4,1,0,5,0,13,9.1,-6,0.666,0.563,0.125,0.5,4.7,10.7,7.5,31.0,2.4,0.0,33.9,30.2,96,106,1.0
2009-10,2009-11-04,TIM,CEL,TIM,33.17,4,6,0.667,3,5,0.6,1,1,1.0,1,1,1.0,1,4,5,5,0,0,2,1,10,10.4,3,0.776,0.75,0.167,0.167,4.3,13.8,9.5,21.8,0.0,0.0,23.7,12.6,129,106,1.1
2009-10,2009-11-06,TIM,BUC,TIM,33.03,9,17,0.529,9,14,0.643,0,3,0.0,2,3,0.667,0,4,4,1,3,0,3,1,20,12.8,1,0.546,0.529,0.176,0.176,0.0,12.4,6.5,9.1,4.8,0.0,14.1,30.2,95,90,5.6
2009-10,2009-11-08,TIM,BLA,BLA,30.4,4,10,0.4,3,6,0.5,1,4,0.25,2,3,0.667,0,0,0,3,2,0,2,3,11,6.1,-13,0.486,0.45,0.4,0.3,0.0,0.0,0.0,15.4,3.3,0.0,15.0,19.6,92,123,-5.9
2009-10,2009-11-09,TIM,WAR,WAR,33.87,8,17,0.471,7,11,0.636,1,6,0.167,3,3,1.0,1,4,5,6,1,0,6,3,20,11.2,-27,0.546,0.5,0.353,0.176,3.0,13.2,7.8,27.7,1.3,0.0,24.7,26.4,100,138,-6.6
2009-10,2009-11-11,TIM,BLA,TIM,25.0,5,11,0.455,4,9,0.444,1,2,0.5,4,4,1.0,0,6,6,1,0,0,2,1,15,9.4,-13,0.588,0.5,0.182,0.364,0.0,36.0,16.5,7.9,0.0,0.0,13.6,30.4,101,124,-4.0
2009-10,2009-11-13,TIM,MAV,TIM,30.13,4,9,0.444,4,7,0.571,0,2,0.0,3,6,0.5,1,1,2,4,3,0,4,0,11,7.9,-16,0.473,0.444,0.222,0.667,2.7,3.2,2.9,28.2,4.8,0.0,25.6,22.1,78,89,-0.3
2009-10,2009-11-14,TIM,GRI,GRI,29.9,5,14,0.357,5,11,0.455,0,3,0.0,0,0,0.0,0,3,3,3,0,1,6,2,10,-0.9,-3,0.357,0.357,0.214,0.0,0.0,11.5,5.9,15.1,0.0,2.4,30.0,30.0,55,102,-14.9
2009-10,2009-11-18,TIM,ROC,TIM,23.85,4,12,0.333,4,10,0.4,0,2,0.0,1,1,1.0,0,1,1,2,0,0,3,0,9,0.9,-16,0.362,0.333,0.167,0.083,0.0,4.8,2.5,14.4,0.0,0.0,19.4,29.5,69,118,-15.4
2009-10,2009-11-21,TIM,BLA,BLA,33.2,3,11,0.273,3,11,0.273,0,0,0.0,3,3,1.0,0,0,0,3,0,0,3,0,9,1.6,-18,0.365,0.273,0.0,0.273,0.0,0.0,0.0,17.6,0.0,0.0,19.6,23.3,70,137,-11.7
