SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2010-11,2010-10-27,WAR,ROC,WAR,0.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.1,3,0.0,0.0,0.0,0.0,0.0,100.0,71.4,0.0,0.0,0.0,0.0,0.0,0,89,-17.3
2010-11,2010-10-31,WAR,LAK,LAK,3.97,1,1,1.0,1,1,1.0,0,0,0.0,0,2,0.0,1,1,2,2,0,0,0,1,2,2.9,2,0.532,1.0,0.0,2.0,22.8,26.9,24.7,100.0,0.0,0.0,0.0,20.4,132,108,21.7
2010-11,2010-11-03,WAR,GRI,WAR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2010-11-05,WAR,JAZ,WAR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2010-11-10,WAR,KNI,KNI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2010-11-11,WAR,BUL,BUL,6.43,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,2,0.3,-6,0.5,0.5,0.0,0.0,14.1,0.0,8.8,0.0,0.0,0.0,33.3,19.1,75,137,-14.8
2010-11,2010-11-13,WAR,BUC,BUC,19.27,3,4,0.75,3,4,0.75,0,0,0.0,0,0,0.0,3,5,8,0,0,2,0,1,6,9.0,10,0.75,0.75,0.0,0.0,14.9,24.9,19.9,0.0,0.0,7.4,0.0,9.8,159,84,7.8
2010-11,2010-11-15,WAR,PIS,WAR,15.55,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0.0,1,2,3,0,3,0,1,1,0,0.8,16,0.0,0.0,0.0,0.0,6.6,15.8,10.8,0.0,9.9,0.0,25.0,11.3,18,90,-8.1
2010-11,2010-11-19,WAR,KNI,WAR,14.08,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,1,2,3,2,0,0,1,2,2,1.2,-10,0.333,0.333,0.0,0.0,8.3,19.5,13.5,15.6,0.0,0.0,25.0,12.6,90,132,-7.9
2010-11,2010-11-21,WAR,LAK,LAK,26.45,3,8,0.375,3,8,0.375,0,0,0.0,3,5,0.6,6,4,10,1,0,1,0,2,9,9.8,-3,0.441,0.375,0.0,0.625,19.8,21.3,20.4,6.8,0.0,3.2,0.0,15.5,122,129,-1.7
2010-11,2010-11-22,WAR,NUG,WAR,3.22,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.8,3,0.0,0.0,0.0,0.0,0.0,39.3,17.6,0.0,0.0,0.0,0.0,14.3,0,115,-22.8
2010-11,2010-11-24,WAR,ROC,ROC,11.6,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,1,0,2,0,-0.2,-4,0.0,0.0,0.0,0.0,8.8,24.3,15.3,0.0,0.0,9.4,0.0,7.7,38,117,-9.9
2010-11,2010-11-26,WAR,GRI,GRI,30.75,6,11,0.545,6,11,0.545,0,0,0.0,0,0,0.0,2,6,8,2,0,0,1,6,12,7.9,6,0.545,0.545,0.0,0.0,7.8,25.3,16.2,9.9,0.0,0.0,8.3,16.9,115,125,-6.2
2010-11,2010-11-27,WAR,TIM,TIM,6.03,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,3,0,-0.6,-3,0.0,0.0,0.0,0.0,0.0,32.5,18.3,0.0,0.0,0.0,0.0,0.0,0,97,-15.4
2010-11,2010-11-30,WAR,SPU,WAR,3.57,1,1,1.0,1,1,1.0,0,0,0.0,1,1,1.0,0,1,1,0,0,0,0,0,3,3.0,0,1.042,1.0,0.0,1.0,0.0,28.6,14.3,0.0,0.0,0.0,0.0,17.5,219,117,15.8
2010-11,2010-12-02,WAR,SUN,WAR,7.42,1,1,1.0,1,1,1.0,0,0,0.0,1,2,0.5,0,1,1,0,0,1,0,0,3,3.3,-2,0.798,1.0,0.0,2.0,0.0,23.1,9.5,0.0,0.0,11.8,0.0,11.6,156,108,5.3
2010-11,2010-12-05,WAR,THU,THU,10.85,2,5,0.4,2,5,0.4,0,0,0.0,1,1,1.0,4,2,6,2,0,0,1,3,5,4.9,2,0.46,0.4,0.0,0.2,37.7,20.1,29.2,26.7,0.0,0.0,15.5,24.1,118,118,-0.8
2010-11,2010-12-07,WAR,MAV,MAV,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2010-12-08,WAR,SPU,SPU,1.88,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,127,-6.9
2010-11,2011-02-27,WAR,TIM,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-03-01,WAR,PAC,PAC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-03-02,WAR,WIZ,WIZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-03-04,WAR,CEL,CEL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-03-11,WAR,MAG,WAR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-03-13,WAR,TIM,WAR,2.85,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,0,0.0,0.0,0.0,0.0,0.0,40.1,18.9,0.0,0.0,0.0,0.0,0.0,0,82,-3.3
2010-11,2011-03-18,WAR,SUN,SUN,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-03-20,WAR,MAV,MAV,3.13,0,0,0.0,0,0,0.0,0,0,0.0,3,4,0.75,1,0,1,0,0,0,1,0,3,2.3,-3,0.852,0.0,0.0,0.0,33.3,0.0,17.0,0.0,0.0,0.0,36.2,41.5,122,119,5.0
2010-11,2011-03-21,WAR,SPU,SPU,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-03-23,WAR,ROC,ROC,0.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,142,-8.1
2010-11,2011-03-25,WAR,RAP,WAR,8.17,1,4,0.25,1,4,0.25,0,0,0.0,0,2,0.0,0,1,1,1,0,0,0,0,2,-0.2,-7,0.205,0.25,0.0,0.5,0.0,13.7,7.9,13.0,0.0,0.0,0.0,26.8,58,109,-20.8
2010-11,2011-03-27,WAR,WIZ,WAR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-03-29,WAR,THU,THU,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-03-30,WAR,GRI,GRI,2.27,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.8,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6,0,130,-55.1
2010-11,2011-04-02,WAR,MAV,WAR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-04-05,WAR,BLA,BLA,2.25,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,1,0,2,2.1,-2,1.0,1.0,0.0,0.0,100.0,0.0,49.0,0.0,0.0,0.0,50.0,41.6,113,115,2.3
2010-11,2011-04-06,WAR,LAK,WAR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-04-10,WAR,KIN,WAR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-04-11,WAR,NUG,NUG,4.18,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-1.2,0,0.0,0.0,0.0,0.0,0.0,60.4,26.7,0.0,0.0,0.0,0.0,20.8,0,126,-27.4
2010-11,2011-04-13,WAR,BLA,WAR,10.33,2,3,0.667,2,3,0.667,0,0,0.0,2,2,1.0,0,1,1,0,1,0,2,2,6,3.2,9,0.773,0.667,0.0,0.667,0.0,9.5,5.2,0.0,5.0,0.0,34.0,25.9,93,92,-8.4
2011-12,2011-12-26,ROC,MAG,MAG,6.55,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,4,0,-2.3,-8,0.0,0.0,0.0,0.0,0.0,20.4,9.6,0.0,0.0,0.0,100.0,7.3,0,119,-26.8
2011-12,2012-01-04,ROC,CLI,CLI,14.18,1,5,0.2,1,5,0.2,0,0,0.0,1,2,0.5,2,0,2,0,0,0,0,2,3,0.1,-13,0.255,0.2,0.0,0.4,19.9,0.0,10.3,0.0,0.0,0.0,0.0,19.4,74,128,-13.1
2011-12,2012-01-06,ROC,THU,THU,8.77,3,4,0.75,3,4,0.75,0,0,0.0,1,2,0.5,2,3,5,0,0,0,0,0,7,7.3,6,0.717,0.75,0.0,0.5,26.1,44.4,34.7,0.0,0.0,0.0,0.0,26.2,149,120,12.7
2011-12,2012-01-07,ROC,THU,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2011-12,2012-01-10,ROC,BOB,BOB,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2011-12,2012-01-11,ROC,SPU,SPU,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2011-12,2012-01-13,ROC,KIN,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2011-12,2012-01-14,ROC,BLA,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2011-12,2012-01-16,ROC,WIZ,WIZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2011-12,2012-01-17,ROC,PIS,ROC,2.62,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,0.9,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,200,105,0.2
2011-12,2012-01-19,ROC,NHO,ROC,3.77,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,105,-5.8
2011-12,2012-01-21,ROC,SPU,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
